P01901859A0000|0 59|UDP-Gal:Gal beta 1----4GlcNAc alpha 1----3-galactosyltransferase
P08514757A1100|4 16|immunophilins
P02997622A0916|4 16|L-myc sequence
P07538173A0307|4 13|Rep68 delta
P08564488A1359|4 13|fibrinogen
P08621661A1035|4 12|P5CDh cDNA
P06402859A0000|4 11|thrombin
P08522530A1342|4 11|nifA mRNA
P07500953A0305|4 11|ADR1 gene
P08995681A0518|4 8|ICP27
P09867253A0229|4 8|c-Jun
P10955913A0827|4 8|HIT II
P11313946A0449|4 7|RGL3
P02487898A0315|4 6|NGF
P08631908A0224|4 6|RXR
P09308234A0225|4 6|Max
P08604338A0198|4 6|EWS
P08918464A0225|4 6|RON
P01524549A0241|4 5|GH
P11160742A0696|4 4|Z
P09422351A0000|5 39|calmodulin-dependent protein kinase II
P09655916A0415|5 33|DNA recognition helix of finger II
P01420579A0292|5 33|serum neutralizing (SN) antibody
P02278474A0000|5 29|Fibrin Degradation Products
P06858967A0167|5 24|lactate dehydrogenase
P09333168A0310|5 23|hepatitis A virus (HAV
P01748287T0000|5 23|SRF-related proteins
P09165035A0842|5 23|alkaline phosphatase
P09451003A0894|5 21|Esigma54 promoters
P07174122A0000|5 18|creatine kinase
P02991060A0465|5 17|IgG antibodies
P09510925A0389|5 15|haemoglobin
P09000632A2341|5 14|p51 subunit
P01469042A0355|5 14|CENP-B gene
P11029700A0295|5 13|Pt;cycH;1
P10430890A1059|5 12|elongin C
P00877857A0763|5 11|amylase
P01285358A0396|5 11|gastrin
P00984209A0614|5 11|gastrin
P11106667A1061|5 11|Pet111p
P10640683A0204|5 11|NeuroD2
P10710742T0000|5 10|leptin
P11203702A1307|5 10|Xlim-1
P01708098A0922|5 10|avidin
P10376873A0706|5 10|sgRNA2
P09786932A1042|5 9|IRF-7
P09645576A0148|5 9|GBV-C
P10026784A2166|5 9|Oct-1
P02456827A0899|5 8|AP (4
P10662550A0679|5 8|SOX8
P07761434A1084|5 8|AP-1
P00232354A0286|5 8|ACTH
P08035833A1556|5 8|YMIP
P11435578A0760|5 8|TxRE
P07935491A0495|5 7|RZR
P11560992A0651|5 7|JNK
P01695098A1116|5 7|IgG
P01518849A0165|5 7|PR3
P10330159A1258|5 7|VDR
P07535593A0714|5 7|CD3
P10851089A1248|5 7|SAG
P06946314T0000|5 7|IgE
P09622121A0525|5 7|PTB
P09331864A0848|5 6|E2
P10480937A0000|6 35|Drosophila A kinase anchor protein
P11245986T0000|6 33|growth-related nuclear protein
P02417023T0001|6 24|superoxide dismutase
P08542026A0792|6 21|70 kD glycoprotein
P05114515T0000|6 20|lysosomal enzyme
P11376165T0000|6 19|Cre recombinase
P09822647A0000|6 18|aldolase C gene
P09494078A1362|6 18|5HT5A receptor
P08057833A0573|6 17|ParA proteins
P03687313A0000|6 16|glucosidase
P10667597A0668|6 15|HZF16 genes
P06851280A0144|6 15|fibrinogen
P01993656A1860|6 13|ARF cDNAs
P01657415A0837|6 13|K1 cox1.2
P10858988A0786|6 13|tryptase
P10600171A1432|6 12|CYP3A23
P02789217A1323|6 12|IL6 mRNA
P03006066A0653|6 12|P135gag
P09560221A0282|6 11|cak1At
P09287036A0457|6 11|leptin
P11220486A0686|6 10|IL-12
P02179815A0582|6 9|p59v
P10846069T0000|6 9|NH(2
P10871379A0261|6 9|VP16
P10207087A0956|6 9|AML1
P08530503A1004|6 8|ARF
P10682570A0453|6 8|SOD
P09877417A0704|6 8|CCK
P09147420T0000|6 8|Sp1
P09530251A0766|6 8|PBS
P10053852T0000|6 7|g2
P02170687A0000|6 7|E7
P09788739A1096|7 33|CD44-associated serine kinase
P07276210T0000|7 32|serum immunoreactive trypsin
P04810131T0000|7 32|Aryl hydrocarbon hydroxylase
P06281759A1086|7 25|RNase III host mutants
P08048916A0000|7 22|insulin receptors
P10954913A0152|7 21|full-length cDNA
P09325135A0737|7 21|CT fusion protein
P08569680A0636|7 17|areA product
P07601827A0778|7 17|lacZ fusions
P09220177A0564|7 17|MB isoenzyme
P08223592A0424|7 16|CCAAT boxes
P09022040A0263|7 15|L-plastin
P00598012A0174|7 15|prolactin
P11080796A1277|7 14|IKKgamma
P10660604A0748|7 13|CARbeta
P09434160A0767|7 13|PTPases
P11092850A1023|7 13|16S rRNA
P11462952A1040|7 13|gastrin
P10557072A0418|7 12|UNC-51
P07935383A0108|7 12|RNase H
P07816049A0686|7 12|Athyp1
P09442072A0716|7 12|DNase I
P10197985A0145|7 12|RNase H
P02555177A0488|7 11|pet54
P09800187A0100|7 11|Trp53
P11278290A1220|7 11|Smad2
P07730336A0606|7 11|ATF-1
P08138180A0593|7 11|spt10
P09480929T0000|7 10|FasR
P10597232A0000|7 10|PTC3
P10471746A1102|7 10|MyoD
P08510647A1347|7 10|Beg1
P10931950A0869|7 10|MAPK
P11114924A0808|7 10|ccdA
P08836740A1025|7 10|CES1
P09736697A1107|7 10|ERKs
P02133731A1572|7 9|CBF
P10487217A0735|7 9|Prx
P09806919A0447|7 9|usp
P07516469A1025|7 9|Src
P08630583A1056|7 8|Hb
P09261178T0000|8 47|extracellular signal-regulated kinase 2 gene
P08618433A0000|8 42|hematopoietic growth factor FLT3 ligand
P08666913A0000|8 40|family type II transmembrane proteins
P10690702A0065|8 38|Acetylcholine receptor antibodies
P08663326A0000|8 37|sigma54-dependent DmpR activator
P10669751T0000|8 37|mitogen-activated protein kinase
P03186091T0000|8 33|plasma cystyl aminopeptidase
P06084864T0001|8 32|maternal alpha fetoproteins
P07798217T0095|8 31|glycogen synthase kinase-3
P01348504A0757|8 30|pol alpha-primase complex
P10350454A0000|8 29|adenine-DNA glycosylase
P02194273A0913|8 27|hyperimmune globulins
P08227129T0000|8 27|myosin-binding domain
P01849734A1063|8 25|PR55 beta transcript
P11160738A1414|8 22|anti-interferon
P10878944A0000|8 22|diphtheria toxin
P01612085A0624|8 21|erythropoietin
P09689919A1192|8 21|bovine PEDF cDNA
P11267679A0102|8 20|EcoRI fragment
P09220158A0537|8 20|62-kDa protein
P11167778T0000|8 19|antithrombin
P11543662A0562|8 19|gstC' mutants
P11773921A0397|8 17|P-selectin
P08534848A0188b|8 17|NR isoforms
P08534848A0188a|8 17|NR isoforms
P01742879A0471|8 16|Plasma AVP
P08428952A0399|8 16|L-plastin
P03545955A1378|8 14|insulin
P07592730A0204|8 13|TSG-14
P09780002A0996|8 13|E2FBP1
P07557091A0314|8 13|rHb1.1
P02832293T0000|8 13|CRF-41
P03016301A0605|8 12|v-myc
P11285235A0466|8 12|TRPS1
P08833653A0783|8 12|isl-1
P10483945A0641|8 12|CK-MB
P11358962A0344|8 12|Foxp2
P07918097T0000|8 12|Notch
P07891708A0690|8 12|HNF-4
P09032248A0239|8 12|Pho85
P08278548A0597|8 11|psaF
P02342477A1292|8 11|UfAP
P08497280T0000|8 11|SWI6
P09753775A0734|8 11|ICK1
P07546294A0000|8 11|UBC2
P06286549A0000|8 10|S-2
P08522511A1250|8 10|PLB
P08583783A0870|8 10|ANP
P08648665A0956|8 10|LE6
P06972179A0556|8 10|IgE
P10599727A1567|8 9|GH
P09086268A0611|8 9|P7
P06775834A0000|8 8|B
P03930894T0000|9 40|muscarinic acetylcholine receptors
P08331728A0686|9 39|U2 small nuclear ribonucleoprotein
P07616056A0278|9 30|gamma 2b heavy chain genes
P01734570T0000|9 29|thromboxane synthetase
P01457695T0000b|9 27|beta 2-microglobulin
P01457695T0000a|9 27|beta 2-microglobulin
P01832197T0001|9 26|D2 dopamine receptor
P11198289T0000|9 26|serum ceruloplasmin
P09681822A0520|9 26|c-erbB3 transcripts
P10350638A0000|9 25|carboxypeptidase A
P09111059A0327|9 25|MAR-binding domain
P02862656T0000|9 24|dopamine receptor
P02781495T0001|9 23|xanthine oxidase
P00052597T0000|9 23|immunoglobulin E
P08625806A0263|9 22|zinc finger gene
P08754840A0793|9 22|glucan synthase
P11168446T0000|9 22|erythropoietin
P04423347T0001|9 21|ceruloplasmin
P01404401A0740|9 21|ATPase cluster
P10926776A0731|9 20|PDP1 isoforms
P08301841A0000|9 20|GSH-Px enzyme
P02848842A0643|9 20|RNA molecules
P06875478A0542|9 19|thyrotropin
P01762914A1218|9 19|uPA promoter
P09343433A0360|9 18|rad6-delta
P02844767A0596|9 18|petBD genes
P09473040A1303b|9 16|alcR gene
P08190633A0273|9 16|AP-2 mRNA
P09655248A0000|9 15|Megalin
P09738693T0000|9 15|rhG-CSF
P08770021T0000|9 13|PTHRP
P07713936A0393|9 13|meAda
P06748227A0423|9 13|Case 2
P01460054A0478|9 13|ICSBP
P08550470A1021|9 12|CheW
P01504853A0299|9 12|LHRH
P08676456A0879|9 12|VP16
P10455189A0104|9 12|HEF1
P09519828A0809|9 12|VP16
P08980522A0280|9 12|cpm7
P02649445A0412|9 11|IRI
P10022880A0000|9 11|Ras
P09400613A1209|9 11|PKR
P09817131A0296|9 10|HK
P01779769A0000|9 9|c
P08126096A1071|9 9|A
P08662499A0484|9 9|F
P08474438A0000|10 34|nuclear ribonucleoproteins
P09551938A0318|10 33|nuclear regulatory factors
P07508954A0000|10 32|biotin complex peroxidase
P07579683A0660|10 31|hGMR beta subunit mutants
P01577819A0709|10 29|PRP-precursor alleles
P10488087A0340|10 27|TTF-1-binding sites
P09735368A0636|10 25|wild-type m8 3' UTR
P10910073A0876|10 25|PDGFbetaR fusions
P08618882A0343|10 24|RAR alpha mutants
P00812183T0000|10 23|transfer factor
P04088733T0001|10 23|acid hydrolases
P09359844A0674|10 23|HSL transcripts
P08396667T0000|10 23|v-abl oncogenes
P02126504A0602|10 22|Rh-antibodies
P11243777A0000|10 22|CCAAT elements
P02713994A0482|10 21|anti HSV type 1
P11112700A1936|10 20|desmoplakin
P08206848A0296|10 18|pyrP genes
P11800586A1090|10 17|DPPD gene
P08656672A0678|10 16|ufo mRNA
P00715753A0241|10 14|CK-MB
P01460054A0968|10 14|ICSBP
P07744846A1006|10 14|Bcl-2
P07878029A0721|10 14|CBF-A
P09858599A0392|10 14|HOXA9
P08290278A0374|10 13|Mxi1
P08383622T0000|10 13|GABP
P10477748A1076|10 13|p193
P08386318A1102|10 13|IL-6
P11121043A0074|10 13|BMPs
P09121433A0463|10 13|Rlm1
P08955189A1198|10 13|NheI
P11319880A1108|10 13|FRAP
P11195401A1030|10 12|AVP
P09658403A1207|10 12|Rap
P11172610A0508|10 12|p73
P10433729A1559|10 12|K.E
P07483285A0322|10 11|E6
P07633756A0690|10 10|c
P09813254A0000|11 44|5'-oligoadenylate (2-5A) synthetases
P07064923T0000|11 34|phenylalanine hydroxylase
P11418130A0499|11 33|homologous loxP sequences
P08134108A0277|11 33|skeletal alpha-actin gene
P10861086A0904|11 32|c-Src-derived construct
P00027967A0207|11 31|secretory HI antibodies
P07653812T0000|11 30|acetyl cholinesterase
P01692135A0783|11 29|rtFc gamma R alpha cDNA
P09576230T0000|11 29|nitric oxide synthase
P09891046A0554|11 29|ribosomal protein L18
P04615525T0001|11 28|antilymphocyte sera
P09613574A0905|11 28|recombinant protein
P09564860A2139|11 27|receptor/G protein
P02850967T0000|11 27|proto-oncogene fos
P01933614A0406|11 26|salmon calcitonin
P08784787A0383|11 26|thrombin receptor
P08980533A1160|11 26|C-terminal region
P08189503A0000|11 25|full-length cDNA
P08077236A0243|11 24|mutant Epo cDNAs
P02484994T0001|11 24|gamma globulins
P07784942T0001|11 24|thrombomodulin
P09121430A1075|11 22|Y239/240F Shc
P11157774A0789|11 22|dSLBP alleles
P00528144T0000|11 21|transferrin
P01377962A1012|11 21|tobacco GS-2
P09599102A1191|11 21|Mac1p mutant
P07651398A0257|11 21|dShc protein
P02498322A0226|11 21|DNA-protein
P00986925A0002|11 20|calcitonin
P09811730T0000|11 20|interferon
P09515858A0000|11 19|Defensins
P09879766A0402|11 19|E1A region
P11157784A0141|11 19|DGCR6 gene
P10702241A0357|11 19|a1 isoform
P07926774A0652|11 18|p85cdc10
P10673426A0168|11 18|R) domain
P10406464A0687|11 18|mTRAP100
P08892755A0186|11 18|carp JAK1
P09071407T0000|11 18|oxytocin
P10428759A0743|11 17|insulin
P09726987T0000|11 17|TAFII31
P09003312A0740|11 17|AT-PHH1
P11162666A0442|11 17|insulin
P11381094A0797|11 17|stonin 2
P08454858A0285|11 17|Ig-beta
P08144615A0533|11 16|NF-IL6
P09020172A0964|11 16|qTBP42
P08808275A1193|11 15|RAD23
P09557708A1426|11 15|actin
P08999857A0801|11 15|E-box
P11003641A0811|11 15|Fcp1p
P10567582A1334|11 15|CtBP1
P07607197A1048|11 15|renin
P01468625A1080|11 14|ACT1
P07916689A0312|11 14|POT1
P10677214A1045|11 14|MutT
P07525843A0859|11 14|H-2b
P10563836A1234|11 14|AP-2
P10773351A0672|11 14|CD86
P10589711A1228|11 14|narZ
P11075944A0691|11 14|npm3
P11238375A0617|11 14|RhoA
P11836303A0518|11 14|IL-6
P03862898A0563|11 13|IgE
P09389669A1009|11 13|omb
P09523478A0572|11 13|IgM
P09454735A1782|11 13|MEK
P07937132A0819|11 13|U21
P02838710A0299|11 13|NPY
P08230418A0812|11 13|nef
P10706688A0376|11 13|TCR
P07780148A1153|11 13|PML
P08317094A0778|11 13|F3R
P10602516A0182|11 13|SLK
P11083358A1071|11 13|SPT
P09104816A0610|11 13|Vpu
P07540773A0576|11 13|NSE
P00024600A0522|11 13|HMG
P00369397A0280|11 12|LH
P08083011A0584|11 11|R
P10788480T0000|12 61|mitochondrial single-stranded DNA-binding protein gene
P01347476T0000|12 54|mouse ornithine decarboxylase-related sequence
P10736161T0000|12 54|phosphoenolpyruvate:sugar phosphotransferase
P10049775T0000|12 54|human Voltage-Dependent Anion Channel isoforms 1
P10524258T0000|12 47|avian fibroblast growth factor receptor 1
P11063742A0000|12 45|redox-sensitive transcription factor
P08063775T0000|12 44|parathyroid hormone-related protein
P10727433T0000|12 44|urokinase plasminogen activator gene
P06318078T0000|12 41|herpes simplex virus beta and gamma
P10050883A0967|12 39|phosphatidylinositol-3 kinase
P09512550T0000|12 35|apolipoprotein AI enhancer
P08654972A0000|12 35|Schizosaccharomyces pombe
P10358080T0000|12 31|human heat shock factor
P08864061A0000|12 30|thymidine kinase gene
P03110678A0702|12 30|beta 2-microglobulin
P08662928T0000|12 29|interleukin (IL)-10
P02427869A0939|12 29|beta 2-adrenoceptor
P03692331A0000|12 28|beta-adrenoceptor
P08030243A1011|12 27|NS35-specific RNA
P07623821T0000|12 26|Gax homeobox gene
P01309815A0972|12 25|scr1-1 mutation
P08194139A0498|12 25|Serum prolactin
P07730337A1439|12 25|PKC-gamma genes
P07876191A0808|12 25|class IV ADH mRNA
P07500386A0870|12 24|GapIII protein
P08276851A0347|12 24|Pay4p sequence
P10406843A1265|12 24|GlcNAc-TI mRNA
P10873158A0000|12 24|nuclear factor
P00304806A0760|12 24|serum alpha1AT
P09228202A0581|12 24|5-HT3 receptor
P08395004A0141|12 24|spt2 mutations
P10341219A0481|12 23|heparin lyase
P02462523A0394|12 23|SalI fragment
P08108099T0000|12 23|desmopressin
P07835088A0238|12 22|HSD3B2 genes
P10329586A0414|12 22|fibronectin
P08506317A0000|12 22|C/EBP family
P02674679A1237|12 21|S1 nuclease
P07935468T0000|12 20|c-fos gene
P02195025T0000|12 20|yeast LEU2
P10681562A0263|12 20|PPARgamma
P07753027A0240|12 20|psbB-psbT
P10422291A0572|12 20|IgA lambda
P02324104A0516|12 20|C subunits
P11003669A0000|12 20|rat gene 33
P08078473A1107|12 20|ME31B cDNA
P11145563A0303|12 19|SREBP-1a
P10805286A0914|12 18|PCI mRNA
P08446579A1210|12 18|fos gene
P09771967A1052|12 18|LB1 gene
P06784123A0286|12 18|C mu RNAs
P09545293A0590|12 18|lumican
P09539746A0781|12 17|Bcl-XL
P09712859A1110|12 17|NF-ATp
P07510635A0479|12 17|mAb1C2
P11462004A0886|12 17|Vp1 DBD
P09837824A0419|12 17|telSMN
P01309894A0807|12 16|Rep68
P01850105A1093|12 16|c-myc
P09915798A1077|12 16|hsp90
P07821790A1084|12 16|UCRBP
P10551796T0000|12 16|HIV-1
P08649773A1374|12 16|BCL-6
P10391246A0756|12 16|MOM-4
P07624119A0528|12 15|PAX3
P09238850A0785|12 15|ICER
P02174861A0736|12 15|irgA
P11525640A0560|12 15|JNK1
P11114521A0282|12 15|RhoA
P11425877A1026|12 15|p116
P11439343A0785|12 15|MPc3
P09891065A1493|12 15|rhoA
P09032259A0972|12 15|Rac1
P02123295A0645|12 15|ARF2
P08343216A0883|12 14|IgG
P10903877A0879|12 14|PKA
P10972990A0526|12 14|p53
P02372712A0002|12 14|tap
P08626313A1037|12 14|Msp
P11103472A0802|12 14|ADD
P02204810A1080|12 14|GA2
P03280021A1615|12 13|dT
P09093867T0000|12 13|Ac
P08570615T0000|12 13|RB
P11743612A1179|12 13|CF
P02703925A0359|12 12|c
P09011745T0000|13 86|chick brain alpha-amino-3-hydroxy-5-methyl-4-isoxazolepropionic acid receptors
P06096380A0662|13 53|cytosolic phosphoenolpyruvate carboxykinase
P09733647A1960|13 43|Thr-Gly-X-X-Gly-Asp-Gly-Lys-Ile
P07594592A0755|13 41|NF-IL6 beta leucine zipper domain
P11161793A1033|13 37|truncated receptor isoforms
P01327758A0000|13 34|bovine papillomavirus-1
P08375651T0000|13 34|clathrin heavy chain gene
P08519862T0001|13 33|anti-HCV IgM antibodies
P02146266A0000|13 33|BamHI-HindIII fragment
P08497259A0452|13 32|SUP4A53T61 transcript
P01400401A0065|13 32|AMP deaminase variants
P09668098A0868|13 31|human FGF-BP promoter
P09165039A1372|13 29|marmoset monkey LHR
P06810694A0328|13 27|HDL-cholesterol
P11044097A0422|13 27|recombinant HMG I
P11108151A0560|13 27|fibronectin mRNA
P09334264A0540|13 26|calf thymus CstF
P01899846A0862|13 26|rbcL-rbcS locus
P09891092A1000|13 26|Sm-binding site
P07478525A1177|13 25|MHBst proteins
P09837907A0857|13 24|TNF receptors
P01907941A0275|13 23|I kappa B beta
P02813404T0000|13 23|antigen gene
P08612852A0553|13 23|plasma IGF-I
P07779811A0901|13 22|Sp1 element
P08120019A1500|13 22|Hm1 mutants
P09620273A0189|13 21|Rb protein
P10918059A0569|13 21|RVH domain
P11160307A0394|13 21|wH22xeGFP
P09759865A0673|13 20|IL-1beta
P07876210A0751|13 20|P450BM-3
P07846163A0422|13 20|GRF genes
P08432696A1117|13 20|apeA gene
P08550462A0815|13 19|dra gene
P09735371A0227|13 18|unc-86
P11134351A1405|13 18|MIP-2A
P07559555A0557|13 17|c-Jun
P02998016A0527|13 17|v-mil
P03097643A1357|13 17|c gene
P07888788A1010|13 17|type I
P10518496A0952|13 17|vHnf1
P07800479A0201|13 16|NSR1
P11278583A0873|13 16|SNT1
P09918715A1158|13 16|MotA
P08566773A1023|13 16|CTS1
P01423454A0309|13 16|ANCA
P10022867A1069b|13 16|ETH1
P10747782A0390|13 16|Mbp1
P09478921A0126|13 16|p210
P11084022A1178|13 16|ALK7
P10620010A1155|13 16|Cdks
P01446828A1088|13 16|ADH5
P09537651A0366|13 16|PEA3
P08356792A1275|13 16|p21X
P00947834X0000|13 15|IgE
P09642276A0881|13 15|Fak
P09121430A0132|13 15|Ras
P08774732A0271|13 15|Sp1
P01420363T0000|13 15|AP1
P09757012A0942|13 15|PDZ
P07592706A1465|13 15|LPL
P09019302A0600|13 15|PLP
P10906176A0000|13 15|ETn
P07828584A0681|13 15|IM1
P09426183A0000|13 15|Rel
P09819288A0578|13 15|IgE
P08605705A0676|13 15|IgM
P10835485A0941|13 15|SH3
P08868473A1287|13 15|p28
P01542565A0220|13 15|L12
P08212571A0971|13 15|gag
P10446910A0147|13 14|E2
P10699354A0557|13 14|RT
P01961996A0522|13 13|R
P02522297A0000|14 66|thromboxane A2 (TXA2)/prostaglandin endoperoxide receptor
P08647822T0000|14 50|sterol regulatory element binding protein
P10025506A0079|14 43|tissue-specific plastin isoforms
P04990556T0000|14 41|horse anti-lymphocyte globulin
P09211354A0000|14 38|matrix metalloproteinase-3
P08887674A0630|14 37|DMP1 recognition sequences
P06795900A0000|14 37|fatty acid cyclo-oxygenase
P02967915A0968|14 35|calbindin-D28K promoter
P01333047A0404|14 34|epidermal growth factor
P08995054A1368|14 33|HeT-A coding sequences
P08759870A1128|14 33|fbpA operator sequence
P10516878T0000|14 31|dopamine D2 receptor
P08896590T0000|14 31|adenovirus late RNAs
P00219565A0172|14 30|hepatitis B antigen
P09522979T0000|14 30|foetal fibronectin
P02565807A1198|14 30|neu proto-oncogene
P03989827T0000|14 30|lactase phenotypes
P09418057A0684|14 29|Pto-like sequence
P07579328A0653|14 28|CAT reporter gene
P08816453A0000|14 28|cyclic AMP (cAMP)
P08630599A0534|14 27|elastin peptide
P06314312A0359|14 27|soybean protein
P07875595A0910|14 27|PITSLRE PK genes
P09018122A1389|14 27|ORF-1 sequences
P08530432A0093|14 27|mutant proteins
P07947930A0499|14 26|serum proteins
P09188699A1388|14 25|SP-A isoforms
P10487753A0788|14 25|XDRP1 protein
P07697294A0329|14 24|HSP81-1 mRNA
P01537845A0571|14 24|murine c-myb
P05529283T0000|14 24|exocrine IgA
P01371413A0742|14 23|hGCSFR gene
P07761091A0294|14 23|MAP kinases
P08639561T0000|14 23|human N-ras
P07706396T0000|14 22|VPS45 gene
P10318859A0535|14 22|calpeptin
P11486476A1512|14 22|troponin T
P00088391A0181|14 21|factor IX
P10932196A0359|14 21|RP2 locus
P07559639A0996|14 21|R206S HSF
P08325504A0226|14 21|RD21 mRNA
P00618078A0367|14 21|lysozyme
P10051488A1610|14 21|AP-1 site
P07787179A0312|14 21|X1 region
P01850096A0662|14 21|myogenin
P09174049A1788|14 20|p34CDC2
P10490816A0000|14 20|RET gene
P11278610A0902|14 20|SOCS box
P01276105A0313|14 20|insulin
P01378052A0594|14 20|acoXABC
P07540866A1069|14 20|insulin
P10838139A1447|14 19|Ha-ras
P02566680A0820|14 19|full mu
P09756895A0322|14 19|chCTCF
P03911052A0909|14 19|DIL-CP
P02307850A1197|14 19|RNKP-1
P11094072A1234|14 18|c-Myb
P08420571A1880|14 18|PACE4
P07623844A0639|14 18|Bcl-2
P08361761A0174|14 18|v-Rel
P08034486A0579|14 18|HSV-2
P02982332T0001|14 18|VP-16
P09435789A0961a|14 18|RAD24
P01582413A0759|14 18|Myf-5
P07814321A0850|14 17|prfA
P09514272A0482|14 17|MvaT
P08626809A0729|14 17|pPKR
P07518426A0000|14 17|IL-8
P09452444A0000|14 17|IL-6
P01378431A0202|14 17|M.-Y
P00917572T0001|14 16|TSH
P09348226A0852|14 16|EGF
P08289831A0290|14 16|CAT
P03381039A0364|14 16|MAN
P03757294A0414|14 16|PLD
P01736093A0731|14 16|CAT
P09765388T0000|14 16|p53
P10068637A1320|14 16|Csx
P11282394A0841|14 15|VH
P07925097A1205|14 15|AR
P09706565A1072|14 14|M
P07513703T0000|15 54|SH2-containing protein tyrosine phosphatase
P09851700A0000|15 50|human tissue-type plasminogen activator
P10585440A0204|15 48|Drosophila melanogaster FAK homologue
P02423533A1314|15 48|MAP1-specific and MAP2-specific mRNAs
P08029334T0000|15 46|plant omega-3 fatty acid desaturases
P06321770A1353|15 46|chloramphenicol acetyltransferase
P07590268A0350|15 44|Drosophila melanogaster (Dm) cDNA
P09838122A0489|15 43|full-length coding cDNA sequence
P08649424A0000|15 42|phenylalanine hydroxylase gene
P02326946T0000|15 40|cholesterol acyltransferase
P00918556A0000|15 38|hepatitis B surface antigen
P07522163T0000|15 37|horse cytochrome c peptide
P08619866A0000|15 36|hepatocyte growth factor
P06833422T0000|15 35|20 alpha-hydroxy-9 beta
P11025367A1009|15 35|plasma cholecystokinin
P06938948T0001|15 34|serum immunoglobulins
P11278671T0000|15 34|Bcl-2 homology 3 domain
P07190627T0000|15 34|plasminogen activator
P01904546A0671|15 33|chromosomal AAR1 gene
P07823953A0777|15 33|I kappa B alpha mutants
P02237431A0000|15 32|human T cell receptor
P10598101A0000|15 32|bZIP protein Opaque2
P08035505A0586|15 32|NS3'-5B polyprotein
P03035056T0000|15 31|kappa antibody gene
P04976988T0000|15 31|human serum albumin
P01922082A0149|15 30|mouse TSH beta gene
P05567721T0000|15 29|thromboplastins
P07977648A0880|15 29|TP53 transcripts
P10568728A1445|15 28|creatine kinase
P07784061A0894|15 28|small G proteins
P09787323A0000|15 27|interleukin-6
P01714452A0559|15 26|human protein
P11152963A0000|15 26|src homology 3
P07720572A0701|15 26|myoD promoter
P10512857A0000|15 26|beta-catenin
P10229668A0190|15 26|cdc33 mutants
P08707424A0709|15 25|ERV3 env mRNA
P10025050A1052|15 25|H2-receptor
P00985279A0493|15 24|hemoglobin
P03104982A0690|15 24|hemoglobin
P07790377A0561|15 24|human PTS1R
P03814493T0000|15 24|interferon
P11207216A0719|15 24|PGHS-2 mRNA
P09087430A1046|15 24|U1A peptide
P07806492A1162|15 23|cucumisin
P11134033A0639|15 23|int6Delta
P01542667A0125|15 23|IFN-gamma
P09525598A0325|15 23|Raf kinase
P01172734T0035|15 22|HL-A W-27
P09197408A0126|15 22|facB gene
P08676266A0838|15 22|protease
P11093745A0563|15 22|HNF3 site
P02164637A0515|15 22|IRA2 gene
P09136015A0529|15 22|Stellate
P09514260A1083|15 21|inteins
P07844201T0000|15 21|albumin
P11528500A0571|15 21|NRL gene
P11034547A0674|15 20|NBPhox
P10090125A0750|15 20|alpha1
P08387507A1015|15 19|Myf-5
P11323716A0413|15 19|RAD23
P11133741A0617|15 19|MCP-1
P06880563A0516|15 18|CPAF
